Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uf,CP_EIA-3528-12_Kemet-T,94.4584,-99.5,180,top
C2,10uf,CP_EIA-3216-10_Kemet-I,96.7584,-94.35,-90,top
C3,10uf,CP_EIA-3216-10_Kemet-I,94.458398,-94.35,-90,top
C8,100nf,C_0603_1608Metric,114.425,-91.325,180,top
C9,100nf,C_0603_1608Metric,156.9034,-94.4125,-90,top
C10,100nf,C_0603_1608Metric,168.3334,-94.4125,-90,top
C11,100nf,C_0603_1608Metric,179.1134,-94.4125,-90,top
C17,100nf,C_0603_1608Metric,114.425,-85,180,top
C18,100nf,C_0603_1608Metric,165.8809,-84.44175,0,top
J2,Conn_02x03_Odd_Even,PinSocket_2x03_P1.27mm_Horizontal,193.0294,-86.3428,180,top
R1,10K,R_0603_1608Metric,194.2994,-89.615,90,top
R2,10K,R_0603_1608Metric,193.029399,-89.615,90,top
R3,10K,R_0603_1608Metric,191.7594,-89.615,90,top
R4,10K,R_0603_1608Metric,100.4834,-89.8,0,top
U1,LM1117-3.3,SOT-223-3_TabPin2,94.4584,-86.65,-90,top
U4,S29GL256S,TSOP-I-56_18.4x14mm_P0.5mm,127.4784,-91.75,180,top
U5,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,161.1334,-96.5,0,top
U6,74LVC245A,TSSOP-20_4.4x6.5mm_P0.65mm,172.5634,-96.5,0,top
U8,74LVC827,TSSOP-24_4.4x7.8mm_P0.65mm,183.9934,-96.5,0,top
C4,100nf,C_0603_1608Metric,117.1184,-98.587499,90,bottom
C5,100nf,C_0603_1608Metric,117.1184,-94.4125,-90,bottom
C6,100nf,C_0603_1608Metric,105.6884,-98.5875,90,bottom
C7,100nf,C_0603_1608Metric,105.6884,-94.4125,-90,bottom
C12,100nf,C_0603_1608Metric,168.3334,-92,0,bottom
C13,100nf,C_0603_1608Metric,139.9784,-100.1375,-90,bottom
C14,100nf,C_0603_1608Metric,128.5484,-98.587499,90,bottom
C15,100nf,C_0603_1608Metric,139.9784,-92.8625,90,bottom
C16,100nf,C_0603_1608Metric,128.5484,-94.4125,-90,bottom
U2,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,112.2384,-96.5,0,bottom
U3,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,100.8084,-96.5,0,bottom
U7,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,135.0984,-96.5,0,bottom
U9,74LVC4245A,TSSOP-24_4.4x7.8mm_P0.65mm,123.6684,-96.5,0,bottom
U10,S29GL256S,TSOP-I-56_18.4x14mm_P0.5mm,155.4184,-91.75,180,bottom